axis,motor,parameters,rms_rad,peak_rad,candidate_max_relative_error,ready_time_s,accepted_updates,pause_freeze_checks,J,B,Fc,A,C
yaw,GM6020,initial_model,0.006730269616,0.01086826091,0.001423574053,24.000000,776,2000,0.0179956686,0.00801138859,0.0449947044,0,0
yaw,GM6020,accepted_candidate,0.0006060986962,0.00185482887,0.001423574053,24.000000,776,2000,0.0179956686,0.00801138859,0.0449947044,0,0
yaw,DM4310,initial_model,0.006723119845,0.010752667,0.001419732347,24.000000,776,2000,0.0179956593,0.00801135786,0.0449947268,0,0
yaw,DM4310,accepted_candidate,0.0006115585626,0.001876538905,0.001419732347,24.000000,776,2000,0.0179956593,0.00801135786,0.0449947268,0,0
pitch,GM6020,initial_model,0.0558643892,0.08179229833,0.002342186191,24.000000,776,2000,0.0119974744,0.011025764,0.0249889195,0.0550137796,0.189997345
pitch,GM6020,accepted_candidate,0.0005474935411,0.001795622183,0.002342186191,24.000000,776,2000,0.0119974744,0.011025764,0.0249889195,0.0550137796,0.189997345
pitch,DM4310,initial_model,0.05584028199,0.08172592144,0.002337360247,24.000000,776,2000,0.0119974175,0.011025711,0.0249889288,0.0550136194,0.189997286
pitch,DM4310,accepted_candidate,0.000551321241,0.00178297412,0.002337360247,24.000000,776,2000,0.0119974175,0.011025711,0.0249889288,0.0550136194,0.189997286
