model,axis,motor,controller,reference,hz,inertia_scale,gravity_ff_scale,nominal_inertia_kg_m2,plant_inertia_kg_m2,required_peak_nm,available_wire_nm,status,reason,samples,evaluation_samples,rms_rad,rms_after_1s_rad,peak_rad,peak_after_1s_rad,peak_request_nm,peak_wire_nm,peak_actuator_nm,saturation_ratio,adapter_clamp_ratio,wire_total_variation_nm,wire_total_variation_nm_per_s,min_angle_rad,max_angle_rad,final_error_rad,joint_min_rad,joint_max_rad,gravity_sin_nm,gravity_cos_nm
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,500,1,1,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,3000,2500,0.000788809486,0.000845010057,0.00271807714,0.00157599773,0.19235301,0.192395874,0.174291258,0,0,14.7672653,2.46121088,-0.101137463,0.0999480496,-0.000387512228,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,500,1,0.8,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,3000,2500,0.000788809486,0.000845010057,0.00271807714,0.00157599773,0.19235301,0.192395874,0.174291258,0,0,14.7672653,2.46121088,-0.101137463,0.0999480496,-0.000387512228,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,500,2,1,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.00341841567,0.00184769183,0.03,0.00305597795,0.143555194,0.143550659,0.136246541,0,0,4.15971277,0.693285461,-0.00305599161,0.03,-0.0012991428,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,500,2,0.8,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.00341841567,0.00184769183,0.03,0.00305597795,0.143555194,0.143550659,0.136246541,0,0,4.15971277,0.693285461,-0.00305599161,0.03,-0.0012991428,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,500,2,1,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.0027494943,0.000844013415,0.03,0.00144562782,0.158950612,0.159018311,0.149711139,0,0,6.59098334,1.09849722,-0.00144567769,0.03,-0.000423129563,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,500,2,0.8,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.0027494943,0.000844013415,0.03,0.00144562782,0.158950612,0.159018311,0.149711139,0,0,6.59098334,1.09849722,-0.00144567769,0.03,-0.000423129563,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,500,2,1,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,3000,2500,0.00175888851,0.00185571036,0.00498471899,0.00324846144,0.163739696,0.163767151,0.156665844,0,0,4.14817987,0.691363312,-0.103043573,0.100203907,-0.00134377313,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,500,2,0.8,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,3000,2500,0.00175888851,0.00185571036,0.00498471899,0.00324846144,0.163739696,0.163767151,0.156665844,0,0,4.14817987,0.691363312,-0.103043573,0.100203907,-0.00134377313,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,500,2,1,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,3000,2500,0.000843616271,0.000847363585,0.00444845225,0.00152772538,0.19260858,0.192667236,0.180711577,0,0,6.60102374,1.10017062,-0.101280369,0.100105423,-0.000429196647,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,500,2,0.8,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,3000,2500,0.000843616271,0.000847363585,0.00444845225,0.00152772538,0.19260858,0.192667236,0.180711577,0,0,6.60102374,1.10017062,-0.101280369,0.100105423,-0.000429196647,-0.5,0.5,0,0
